Time: 0, Load cell: -46378.0, Distance: 53, Load: 16.207826086956523
Time: 1, Load cell: -46340.0, Distance: 59, Load: 8.103913043478261
Time: 2, Load cell: -46454.0, Distance: 51, Load: 32.415652173913045
Time: 3, Load cell: -46312.0, Distance: 51, Load: 2.132608695652174
Time: 4, Load cell: -46278.0, Distance: 47, Load: -5.118260869565217
Time: 5, Load cell: -46412.0, Distance: 49, Load: 23.458695652173912
Time: 6, Load cell: -46350.0, Distance: 57, Load: 10.236521739130435
Time: 7, Load cell: -46404.0, Distance: 8190, Load: 21.752608695652174
Time: 8, Load cell: -46314.0, Distance: 8190, Load: 2.5591304347826087
Time: 9, Load cell: -46400.0, Distance: 8191, Load: 20.899565217391306
Time: 10, Load cell: -46374.0, Distance: 172, Load: 15.354782608695652
Time: 11, Load cell: -46368.0, Distance: 87, Load: 14.075217391304347
Time: 12, Load cell: -46350.0, Distance: 87, Load: 10.236521739130435
Time: 13, Load cell: -46272.0, Distance: 85, Load: -6.397826086956522
Time: 14, Load cell: -46358.0, Distance: 87, Load: 11.942608695652174
Time: 15, Load cell: -46256.0, Distance: 88, Load: -9.81
Time: 16, Load cell: -46366.0, Distance: 84, Load: 13.648695652173913
Time: 17, Load cell: -46280.0, Distance: 206, Load: -4.691739130434783
Time: 18, Load cell: -46314.0, Distance: 8191, Load: 2.5591304347826087
Time: 19, Load cell: -46384.0, Distance: 8191, Load: 17.487391304347828
Time: 20, Load cell: -46326.0, Distance: 127, Load: 5.118260869565217
Time: 21, Load cell: -46420.0, Distance: 85, Load: 25.164782608695653
Time: 22, Load cell: -46342.0, Distance: 8190, Load: 8.530434782608696
Time: 23, Load cell: -46372.0, Distance: 121, Load: 14.928260869565218
Time: 24, Load cell: -46278.0, Distance: 119, Load: -5.118260869565217
Time: 25, Load cell: -46340.0, Distance: 121, Load: 8.103913043478261
Time: 26, Load cell: -46378.0, Distance: 123, Load: 16.207826086956523
Time: 27, Load cell: -46288.0, Distance: 121, Load: -2.9856521739130435
Time: 28, Load cell: -46322.0, Distance: 120, Load: 4.265217391304348
Time: 29, Load cell: -46384.0, Distance: 122, Load: 17.487391304347828
Time: 30, Load cell: -46258.0, Distance: 8191, Load: -9.383478260869566
Time: 31, Load cell: -46340.0, Distance: 8191, Load: 8.103913043478261
Time: 32, Load cell: -46346.0, Distance: 8191, Load: 9.383478260869566
Time: 33, Load cell: -46344.0, Distance: 8191, Load: 8.95695652173913
Time: 34, Load cell: -46358.0, Distance: 8190, Load: 11.942608695652174
Time: 35, Load cell: -46328.0, Distance: 8190, Load: 5.544782608695652
Time: 36, Load cell: -46258.0, Distance: 8191, Load: -9.383478260869566
Time: 37, Load cell: -46328.0, Distance: 8191, Load: 5.544782608695652
Time: 38, Load cell: -46442.0, Distance: 8191, Load: 29.856521739130436
Time: 39, Load cell: -46256.0, Distance: 8191, Load: -9.81
Time: 40, Load cell: -46314.0, Distance: 8191, Load: 2.5591304347826087
Time: 41, Load cell: -46336.0, Distance: 8190, Load: 7.250869565217391
Time: 42, Load cell: -46462.0, Distance: 8190, Load: 34.12173913043478
Time: 43, Load cell: -46292.0, Distance: 8190, Load: -2.132608695652174
Time: 44, Load cell: -46358.0, Distance: 8191, Load: 11.942608695652174
Time: 45, Load cell: -46308.0, Distance: 8190, Load: 1.2795652173913044
Time: 46, Load cell: -46434.0, Distance: 8191, Load: 28.150434782608695
Time: 47, Load cell: -46352.0, Distance: 8190, Load: 10.66304347826087
Time: 48, Load cell: -46406.0, Distance: 8191, Load: 22.179130434782607
Time: 49, Load cell: -46268.0, Distance: 8190, Load: -7.250869565217391
Time: 50, Load cell: -46286.0, Distance: 8191, Load: -3.4121739130434783
Time: 51, Load cell: -46468.0, Distance: 8191, Load: 35.401304347826084
Time: 52, Load cell: -46342.0, Distance: 8191, Load: 8.530434782608696
Time: 53, Load cell: -46288.0, Distance: 8190, Load: -2.9856521739130435
Time: 54, Load cell: -46334.0, Distance: 8190, Load: 6.824347826086957
Time: 55, Load cell: -46252.0, Distance: 8191, Load: -10.66304347826087
Time: 56, Load cell: -46386.0, Distance: 638, Load: 17.91391304347826
Time: 57, Load cell: -46428.0, Distance: 8190, Load: 26.87086956521739
Time: 58, Load cell: -46318.0, Distance: 8191, Load: 3.4121739130434783
Time: 59, Load cell: -46404.0, Distance: 8190, Load: 21.752608695652174
Time: 60, Load cell: -46250.0, Distance: 599, Load: -11.089565217391304
Time: 61, Load cell: -46312.0, Distance: 8191, Load: 2.132608695652174
Time: 62, Load cell: -46270.0, Distance: 8191, Load: -6.824347826086957
Time: 63, Load cell: -46488.0, Distance: 8191, Load: 39.66652173913044
Time: 64, Load cell: -46402.0, Distance: 8191, Load: 21.32608695652174
Time: 65, Load cell: -46444.0, Distance: 8191, Load: 30.28304347826087
Time: 66, Load cell: -46390.0, Distance: 8191, Load: 18.766956521739132
