Time: 0, Load cell: -396374.0, Distance: 156, Load: 49.047247320276114
Time: 1, Load cell: -396784.0, Distance: 165, Load: 49.611546663673614
Time: 2, Load cell: -396858.0, Distance: 156, Load: 49.71339581345755
Time: 3, Load cell: -397024.0, Distance: 160, Load: 49.94186823054044
Time: 4, Load cell: -396826.0, Distance: 160, Load: 49.66935293787531
Time: 5, Load cell: -394560.0, Distance: 157, Load: 46.55056681070768
Time: 6, Load cell: -359874.0, Distance: 162, Load: -1.1891576407205793
Time: 7, Load cell: -361548.0, Distance: 159, Load: 1.1148352881755432
Time: 8, Load cell: -361030.0, Distance: 158, Load: 0.4018912396879736
Time: 9, Load cell: -358576.0, Distance: 162, Load: -2.9756467815253385
Time: 10, Load cell: -356354.0, Distance: 160, Load: -6.033873954767384
Time: 11, Load cell: -356172.0, Distance: 158, Load: -6.284367809641395
Time: 12, Load cell: -355942.0, Distance: 157, Load: -6.600925977888771
Time: 13, Load cell: -356744.0, Distance: 159, Load: -5.497101408608789
Time: 14, Load cell: -356414.0, Distance: 161, Load: -5.951293563050677
Time: 15, Load cell: -355848.0, Distance: 161, Load: -6.730301924911612
Time: 16, Load cell: -355742.0, Distance: 160, Load: -6.876193950277794
Time: 17, Load cell: -355164.0, Distance: 160, Load: -7.671718390482071
Time: 18, Load cell: -356310.0, Distance: 160, Load: -6.094432908692969
Time: 19, Load cell: -355280.0, Distance: 162, Load: -7.512062966496438
Time: 20, Load cell: -357314.0, Distance: 156, Load: -4.712587687300074
Time: 21, Load cell: -355872.0, Distance: 161, Load: -6.697269768224929
Time: 22, Load cell: -356062.0, Distance: 159, Load: -6.4357651944553576
Time: 23, Load cell: -356092.0, Distance: 162, Load: -6.394474998597004
Time: 24, Load cell: -355402.0, Distance: 161, Load: -7.344149503339134
Time: 25, Load cell: -355844.0, Distance: 160, Load: -6.735807284359392
Time: 26, Load cell: -355754.0, Distance: 160, Load: -6.859677871934453
Time: 27, Load cell: -355320.0, Distance: 159, Load: -7.457009372018633
Time: 28, Load cell: -355962.0, Distance: 158, Load: -6.5733991806498695
Time: 29, Load cell: -355732.0, Distance: 162, Load: -6.889957348897245
Time: 30, Load cell: -355770.0, Distance: 160, Load: -6.837656434143331
Time: 31, Load cell: -355848.0, Distance: 158, Load: -6.730301924911612
Time: 32, Load cell: -364590.0, Distance: 160, Load: 5.301661148212583
Time: 33, Load cell: -364648.0, Distance: 160, Load: 5.381488860205399
Time: 34, Load cell: -363762.0, Distance: 158, Load: 4.162051742522028
Time: 35, Load cell: -363344.0, Distance: 158, Load: 3.5867416802289696
Time: 36, Load cell: -363338.0, Distance: 161, Load: 3.578483641057299
Time: 37, Load cell: -363904.0, Distance: 159, Load: 4.357492002918234
Time: 38, Load cell: -364210.0, Distance: 161, Load: 4.778652000673439
Time: 39, Load cell: -364512.0, Distance: 159, Load: 5.194306638980864
Time: 40, Load cell: -364346.0, Distance: 161, Load: 4.965834221897975
Time: 41, Load cell: -363844.0, Distance: 164, Load: 4.274911611201527
Time: 42, Load cell: -364274.0, Distance: 163, Load: 4.866737751837927
Time: 43, Load cell: -364020.0, Distance: 160, Load: 4.517147426903867
Time: 44, Load cell: -361970.0, Distance: 160, Load: 1.6956507099163816
Time: 45, Load cell: -355712.0, Distance: 162, Load: -6.917484146136148
Time: 46, Load cell: -355810.0, Distance: 161, Load: -6.782602839665526
Time: 47, Load cell: -356056.0, Distance: 160, Load: -6.4440232336270284
Time: 48, Load cell: -355838.0, Distance: 162, Load: -6.744065323531063
Time: 49, Load cell: -355668.0, Distance: 156, Load: -6.978043100061733
Time: 50, Load cell: -356006.0, Distance: 161, Load: -6.512840226724284
Time: 51, Load cell: -355772.0, Distance: 159, Load: -6.834903754419441
Time: 52, Load cell: -356154.0, Distance: 162, Load: -6.309141927156407
Time: 53, Load cell: -355600.0, Distance: 165, Load: -7.071634210674
Time: 54, Load cell: -355974.0, Distance: 164, Load: -6.556883102306528
